Date,Country,Confirmed,Recovered,Deaths
22-01-2020,Afghanistan,0,0,0
22-01-2020,Albania,0,0,0
22-01-2020,Algeria,0,0,0
22-01-2020,Andorra,0,0,0
22-01-2020,Angola,0,0,0
22-01-2020,Antigua and Barbuda,0,0,0
22-01-2020,Argentina,0,0,0
22-01-2020,Armenia,0,0,0
22-01-2020,Australia,0,0,0
22-01-2020,Austria,0,0,0
22-01-2020,Azerbaijan,0,0,0
22-01-2020,Bahamas,0,0,0
22-01-2020,Bahrain,0,0,0
22-01-2020,Bangladesh,0,0,0
22-01-2020,Barbados,0,0,0
22-01-2020,Belarus,0,0,0
22-01-2020,Belgium,0,0,0
22-01-2020,Belize,0,0,0
22-01-2020,Benin,0,0,0
22-01-2020,Bhutan,0,0,0
22-01-2020,Bolivia,0,0,0
22-01-2020,Bosnia and Herzegovina,0,0,0
22-01-2020,Botswana,0,0,0
22-01-2020,Brazil,0,0,0
22-01-2020,Brunei,0,0,0
22-01-2020,Bulgaria,0,0,0
22-01-2020,Burkina Faso,0,0,0
22-01-2020,Burma,0,0,0
22-01-2020,Burundi,0,0,0
22-01-2020,Cabo Verde,0,0,0
22-01-2020,Cambodia,0,0,0
22-01-2020,Cameroon,0,0,0
22-01-2020,Canada,0,0,0
22-01-2020,Central African Republic,0,0,0
22-01-2020,Chad,0,0,0
22-01-2020,Chile,0,0,0
22-01-2020,China,548,28,17
22-01-2020,Colombia,0,0,0
22-01-2020,Congo (Brazzaville),0,0,0
22-01-2020,Congo (Kinshasa),0,0,0
22-01-2020,Costa Rica,0,0,0
22-01-2020,Cote d'Ivoire,0,0,0
22-01-2020,Croatia,0,0,0
22-01-2020,Cuba,0,0,0
22-01-2020,Cyprus,0,0,0
22-01-2020,Czechia,0,0,0
22-01-2020,Denmark,0,0,0
22-01-2020,Diamond Princess,0,0,0
22-01-2020,Djibouti,0,0,0
22-01-2020,Dominica,0,0,0
22-01-2020,Dominican Republic,0,0,0
22-01-2020,Ecuador,0,0,0
22-01-2020,Egypt,0,0,0
22-01-2020,El Salvador,0,0,0
22-01-2020,Equatorial Guinea,0,0,0
22-01-2020,Eritrea,0,0,0
22-01-2020,Estonia,0,0,0
22-01-2020,Eswatini,0,0,0
22-01-2020,Ethiopia,0,0,0
22-01-2020,Fiji,0,0,0
